Ngay,Index,Return
3/01/2012,56.79,0
4/01/2012,56.43,-0.006359322
5/01/2012,55.89,-0.009615459
6/01/2012,55.43,-0.00826451
9/01/2012,55.27,-0.002890698
10/01/2012,56.15,0.015796415
11/01/2012,55.88,-0.004820147
12/01/2012,55.81,-0.00125347
13/01/2012,56.27,0.008208469
16/01/2012,57,0.012889734
17/01/2012,56.55,-0.007926065
18/01/2012,57.22,0.011778285
19/01/2012,58.41,0.02058362
20/01/2012,58.44,0.000513479
30/01/2012,59.34,0.015283028
31/01/2012,60.59,0.020846248
1/02/2012,60.47,-0.001982489
2/02/2012,62.57,0.034138556
3/02/2012,61.85,-0.011573831
6/02/2012,61.49,-0.005837539
7/02/2012,62.53,0.016771882
8/02/2012,63.74,0.019165867
9/02/2012,63.82,0.001254312
10/02/2012,62.69,-0.017864676
13/02/2012,61.04,-0.026672558
14/02/2012,61.54,0.008157983
15/02/2012,60.21,-0.021848918
16/02/2012,60.58,0.006126354
17/02/2012,61.79,0.019776733
20/02/2012,64.27,0.03935142
21/02/2012,63.89,-0.005930105
22/02/2012,65.7,0.027936071
23/02/2012,66.78,0.016304709
24/02/2012,67.07,0.004333216
27/02/2012,69.16,0.030685811
28/02/2012,67.09,-0.030387659
29/02/2012,68.68,0.023423034
1/03/2012,69.58,0.013019134
2/03/2012,71.72,0.030292479
5/03/2012,75.78,0.055064757
6/03/2012,75.2,-0.007683175
7/03/2012,75.03,-0.002263197
8/03/2012,71.83,-0.043585817
9/03/2012,71.56,-0.003765957
12/03/2012,69.26,-0.03266872
13/03/2012,70.54,0.018312386
14/03/2012,69.28,-0.018023661
15/03/2012,72.19,0.041145268
16/03/2012,72.76,0.007864821
19/03/2012,72.9,0.001922285
20/03/2012,74.39,0.020232885
21/03/2012,75.66,0.016928095
22/03/2012,76.11,0.005930043
23/03/2012,77.57,0.019001092
26/03/2012,77.72,0.00193187
27/03/2012,74.95,-0.0362914
28/03/2012,75.53,0.007708704
29/03/2012,73.2,-0.031334507
30/03/2012,72.2,-0.013755375
3/04/2012,74.49,0.031224842
4/04/2012,73.25,-0.01678664
5/04/2012,74.82,0.021206981
6/04/2012,74.69,-0.001739015
9/04/2012,76.28,0.021064566
10/04/2012,75.41,-0.011470889
11/04/2012,77.51,0.027467068
12/04/2012,78.54,0.013201089
13/04/2012,78.38,-0.002039256
16/04/2012,80.37,0.025072179
17/04/2012,79.91,-0.005739971
18/04/2012,79.33,-0.007284634
19/04/2012,77.5,-0.023338431
20/04/2012,77.75,0.003220615
23/04/2012,77.81,0.000771407
24/04/2012,78.57,0.00971999
25/04/2012,79.55,0.012395808
26/04/2012,78.74,-0.010234469
27/04/2012,79.86,0.014123816
2/05/2012,79.35,-0.006406655
3/05/2012,79.69,0.00427566
4/05/2012,81.27,0.019632837
7/05/2012,83.79,0.030536724
8/05/2012,83.64,-0.001791794
9/05/2012,83.76,0.001433692
10/05/2012,83.23,-0.006347707
11/05/2012,81.58,-0.020023726
14/05/2012,78.84,-0.034163652
15/05/2012,76.81,-0.026085642
16/05/2012,77.55,0.00958805
17/05/2012,76.15,-0.01821781
18/05/2012,73.81,-0.031210856
21/05/2012,76.84,0.040231114
22/05/2012,76.46,-0.00495761
23/05/2012,73.61,-0.037986842
24/05/2012,73.66,0.000679025
25/05/2012,76.06,0.032062591
28/05/2012,75.6,-0.006066219
