Ngay,Index,Return
3/01/2012,350,0
4/01/2012,348.84,-0.00332
5/01/2012,340.94,-0.022907
6/01/2012,336.73,-0.012425
9/01/2012,339.32,0.007662
10/01/2012,344.68,0.015673
11/01/2012,347.43,0.007947
12/01/2012,348.11,0.001955
13/01/2012,354.33,0.01771
16/01/2012,357.87,0.009941
17/01/2012,358.86,0.002763
18/01/2012,362.66,0.010533
19/01/2012,373.43,0.029265
20/01/2012,373,-0.001152
30/01/2012,384.94,0.031509
31/01/2012,387.97,0.007841
1/02/2012,390.67,0.006935
2/02/2012,401.61,0.027618
3/02/2012,401.74,0.000324
6/02/2012,399.73,-0.005016
7/02/2012,401.08,0.003372
8/02/2012,409.53,0.020849
9/02/2012,411.39,0.004532
10/02/2012,405.02,-0.015605
13/02/2012,395.54,-0.023685
14/02/2012,400.26,0.011862
15/02/2012,397.41,-0.007146
16/02/2012,396.51,-0.002267
17/02/2012,403.3,0.016979
20/02/2012,413.98,0.026137
21/02/2012,410.91,-0.007443
22/02/2012,418.41,0.018088
23/02/2012,423.89,0.013012
24/02/2012,423.43,-0.001086
27/02/2012,428.41,0.011692
28/02/2012,422.22,-0.014554
29/02/2012,423.64,0.003358
1/03/2012,427.95,0.010122
2/03/2012,439.6,0.026859
5/03/2012,457.21,0.039278
6/03/2012,445,-0.027069
7/03/2012,444.02,-0.002205
8/03/2012,431.66,-0.028231
9/03/2012,432.11,0.001042
12/03/2012,428.02,-0.00951
13/03/2012,429.39,0.003196
14/03/2012,433.86,0.010356
15/03/2012,441.85,0.018249
16/03/2012,438.52,-0.007565
19/03/2012,438.07,-0.001027
20/03/2012,440.29,0.005055
21/03/2012,445.77,0.01237
22/03/2012,445.67,-0.000224
23/03/2012,454.1,0.018739
26/03/2012,459.26,0.011299
27/03/2012,445.9,-0.029522
28/03/2012,446.32,0.000941
29/03/2012,439.63,-0.015103
30/03/2012,441.03,0.003179
3/04/2012,445.77,0.01069
4/04/2012,439.77,-0.013551
5/04/2012,444.93,0.011665
6/04/2012,447.44,0.005625
9/04/2012,450.73,0.007326
10/04/2012,450.85,0.000266
11/04/2012,458.74,0.017349
12/04/2012,465.26,0.014113
13/04/2012,462.52,-0.005907
16/04/2012,468.26,0.012334
17/04/2012,472.84,0.009733
18/04/2012,472.16,-0.001439
19/04/2012,467.08,-0.010817
20/04/2012,465.72,-0.002916
23/04/2012,465.17,-0.001182
24/04/2012,465.65,0.001031
25/04/2012,472.87,0.015386
26/04/2012,470.21,-0.005641
27/04/2012,473.77,0.007543
2/05/2012,472.46,-0.002769
3/05/2012,468.8,-0.007777
4/05/2012,476.32,0.015914
7/05/2012,486.31,0.020756
8/05/2012,488.07,0.003613
9/05/2012,487.62,-0.000922
10/05/2012,486.07,-0.003184
11/05/2012,480.1,-0.012358
14/05/2012,469.69,-0.021922
15/05/2012,455.65,-0.030348
16/05/2012,449.91,-0.012677
17/05/2012,442.58,-0.016426
18/05/2012,434.95,-0.01739
21/05/2012,448.02,0.029607
22/05/2012,447.94,-0.000179
23/05/2012,436.75,-0.025298
24/05/2012,426.92,-0.022764
25/05/2012,437.38,0.024206
28/05/2012,435.48,-0.004354
29/05/2012,431.44,-0.00932
30/05/2012,435.34,0.008999
31/05/2012,429.2,-0.014204
1/06/2012,428.8,-0.000932
4/06/2012,416.65,-0.028744
5/06/2012,421.02,0.010434
6/06/2012,426.39,0.012674
7/06/2012,434.41,0.018634
8/06/2012,432.9,-0.003482
11/06/2012,432.5,-0.000924
12/06/2012,428.16,-0.010085
13/06/2012,427.61,-0.001285
14/06/2012,425.28,-0.005464
15/06/2012,433.09,0.018198
18/06/2012,435.59,0.005756
19/06/2012,431.08,-0.010408
20/06/2012,432.89,0.00419
21/06/2012,431.14,-0.004051
22/06/2012,427.17,-0.009251
25/06/2012,424.12,-0.007166
26/06/2012,419.19,-0.011692
27/06/2012,418.04,-0.002747
28/06/2012,418.16,0.000287
29/06/2012,422.37,0.010018
2/07/2012,419.3,-0.007295
3/07/2012,413.09,-0.014921
4/07/2012,410.73,-0.005729
5/07/2012,413.83,0.007519
6/07/2012,415.44,0.003883
9/07/2012,408.12,-0.017777
10/07/2012,405.39,-0.006712
11/07/2012,407.28,0.004651
12/07/2012,408.72,0.003529
13/07/2012,416.98,0.020008
16/07/2012,413.98,-0.007221
17/07/2012,417.55,0.008587
18/07/2012,418.83,0.003061
19/07/2012,428.38,0.022546
20/07/2012,424.47,-0.009169
23/07/2012,421.99,-0.00586
24/07/2012,415.63,-0.015186
25/07/2012,412.91,-0.006566
26/07/2012,414.8,0.004567
27/07/2012,413.16,-0.003962
30/07/2012,415,0.004444
31/07/2012,414.48,-0.001254
1/08/2012,412.55,-0.004667
2/08/2012,416.1,0.008568
3/08/2012,418.21,0.005058
6/08/2012,423.16,0.011767
7/08/2012,422.5,-0.001561
8/08/2012,423.57,0.002529
9/08/2012,426.98,0.008018
10/08/2012,425.56,-0.003331
13/08/2012,426.17,0.001432
14/08/2012,429.47,0.007714
15/08/2012,430.77,0.003022
16/08/2012,430.83,0.000139
17/08/2012,433.45,0.006063
20/08/2012,437.28,0.008797
21/08/2012,416.84,-0.047871
22/08/2012,410.23,-0.015984
23/08/2012,392.82,-0.043366
24/08/2012,399.72,0.017413
27/08/2012,386.19,-0.034435
28/08/2012,385.78,-0.001062
29/08/2012,393.06,0.018695
30/08/2012,397.25,0.010604
31/08/2012,396.02,-0.003101
4/09/2012,402.08,0.015186
5/09/2012,398.92,-0.00789
6/09/2012,393.41,-0.013909
7/09/2012,397.51,0.010368
10/09/2012,388.88,-0.021949
11/09/2012,386.62,-0.005829
12/09/2012,388.35,0.004465
13/09/2012,391.36,0.007721
14/09/2012,398.87,0.019008
17/09/2012,401.75,0.007194
18/09/2012,394.51,-0.018186
19/09/2012,394.55,0.000101
20/09/2012,389.28,-0.013447
21/09/2012,395.48,0.015801
24/09/2012,390.37,-0.013005
25/09/2012,391.77,0.00358
26/09/2012,395.12,0.008515
27/09/2012,393.34,-0.004515
28/09/2012,392.57,-0.00196
1/10/2012,386.55,-0.015454
2/10/2012,384.32,-0.005786
3/10/2012,385.37,0.002728
4/10/2012,384.51,-0.002234
5/10/2012,388.16,0.009448
8/10/2012,393.45,0.013536
9/10/2012,393.67,0.000559
10/10/2012,394.66,0.002512
11/10/2012,394.19,-0.001192
12/10/2012,392.54,-0.004195
15/10/2012,391.56,-0.0025
16/10/2012,399.22,0.019374
17/10/2012,397.02,-0.005526
18/10/2012,398.51,0.003746
19/10/2012,398.23,-0.000703
22/10/2012,397,-0.003093
23/10/2012,397.71,0.001787
24/10/2012,395.45,-0.005699
25/10/2012,389.92,-0.014083
26/10/2012,391.7,0.004555
29/10/2012,391.36,-0.000868
30/10/2012,389.86,-0.00384
31/10/2012,388.42,-0.0037
1/11/2012,387.95,-0.001211
2/11/2012,375.26,-0.033257
5/11/2012,377.27,0.005342
6/11/2012,376.95,-0.000849
7/11/2012,380.9,0.010424
8/11/2012,385.6,0.012264
9/11/2012,386.71,0.002874
12/11/2012,388.62,0.004927
13/11/2012,385.22,-0.008787
14/11/2012,387.71,0.006443
15/11/2012,386.91,-0.002066
16/11/2012,385.71,-0.003106
19/11/2012,383.32,-0.006216
20/11/2012,385.1,0.004633
21/11/2012,383.87,-0.003199
22/11/2012,383.22,-0.001695
23/11/2012,381.71,-0.003948
26/11/2012,377.9,-0.010032
27/11/2012,376.89,-0.002676
28/11/2012,375.79,-0.002923
29/11/2012,378.2,0.006393
30/11/2012,377.82,-0.001005
3/12/2012,379.27,0.00383
4/12/2012,382.1,0.007434
5/12/2012,385.69,0.009352
6/12/2012,385.69,0
